model,top1
deit3_large_patch16_384_in21ft1k,87.716
convnext_xlarge_in22ft1k,87.338
deit3_huge_patch14_224_in21ft1k,87.184
swin_large_patch4_window12_384,87.148
volo_d5_512,87.044
deit3_large_patch16_224_in21ft1k,86.978
volo_d4_448,86.79
deit3_base_patch16_384_in21ft1k,86.744
volo_d3_448,86.494
cait_m48_448,86.484
swin_base_patch4_window12_384,86.432
swin_large_patch4_window7_224,86.32
dm_nfnet_f6,86.144
volo_d5_224,86.068
cait_m36_384,86.054
volo_d2_384,86.036
xcit_large_24_p8_384_dist,86
volo_d4_224,85.872
vit_large_patch16_224,85.842
xcit_medium_24_p8_384_dist,85.816
dm_nfnet_f5,85.814
deit3_large_patch16_384,85.81
vit_base_patch8_224,85.796
xcit_large_24_p16_384_dist,85.754
deit3_base_patch16_224_in21ft1k,85.714
dm_nfnet_f4,85.714
xcit_small_24_p8_384_dist,85.556
dm_nfnet_f3,85.522
cait_s36_384,85.46
deit_base_distilled_patch16_384,85.422
xcit_medium_24_p16_384_dist,85.412
volo_d3_224,85.408
swin_base_patch4_window7_224,85.252
volo_d1_384,85.25
deit3_huge_patch14_224,85.204
volo_d2_224,85.196
xcit_small_24_p16_384_dist,85.098
xcit_small_12_p8_384_dist,85.088
deit3_base_patch16_384,85.072
dm_nfnet_f2,85.064
cait_s24_384,85.046
regnetz_e8,85.03
convnext_large,84.846
deit3_small_patch16_384_in21ft1k,84.824
deit3_large_patch16_224,84.764
xcit_small_12_p16_384_dist,84.706
eca_nfnet_l2,84.698
dm_nfnet_f1,84.626
coatnet_rmlp_2_rw_224,84.6
swinv2_base_window16_256,84.594
deit3_medium_patch16_224_in21ft1k,84.56
regnetz_040h,84.494
maxvit_rmlp_small_rw_224,84.484
convnext_base,84.434
xcit_large_24_p8_224,84.392
swinv2_base_window8_256,84.262
regnetz_040,84.236
maxvit_rmlp_tiny_rw_256,84.232
swinv2_small_window16_256,84.206
volo_d1_224,84.164
cait_xs24_384,84.062
regnetz_d8,84.05
regnetz_d8_evos,84.05
regnetz_d32,84.022
eca_nfnet_l1,84.01
regnety_080,83.932
swin_s3_base_224,83.93
swinv2_small_window8_256,83.856
xcit_small_24_p8_224,83.838
deit3_base_patch16_224,83.792
swin_s3_small_224,83.77
xcit_tiny_24_p8_384_dist,83.74
xcit_medium_24_p8_224,83.734
regnety_064,83.716
regnetv_064,83.712
convnext_small,83.706
regnety_160,83.686
coatnet_1_rw_224,83.608
maxvit_tiny_rw_224,83.504
swinv2_cr_small_ns_224,83.488
cait_s24_224,83.452
efficientnet_b4,83.428
deit3_small_patch16_384,83.426
deit_base_distilled_patch16_224,83.388
dm_nfnet_f0,83.386
coatnet_rmlp_1_rw_224,83.358
xcit_small_12_p8_224,83.344
swin_small_patch4_window7_224,83.212
regnetv_040,83.194
xception65,83.18
swinv2_cr_small_224,83.146
deit_base_patch16_384,83.106
deit3_medium_patch16_224,83.08
deit3_small_patch16_224_in21ft1k,83.07
regnety_040,83.038
maxvit_rmlp_nano_rw_256,82.962
maxvit_nano_rw_256,82.932
xcit_large_24_p16_224,82.896
resnet152,82.822
swinv2_tiny_window16_256,82.81
nfnet_l0,82.75
convnext_tiny,82.7
xcit_medium_24_p16_224,82.636
eca_nfnet_l0,82.58
xcit_small_24_p16_224,82.58
xcit_tiny_24_p16_384_dist,82.57
coatnet_bn_0_rw_224,82.398
coatnet_0_rw_224,82.39
xcit_tiny_12_p8_384_dist,82.388
mobilevitv2_200,82.324
coat_lite_small,82.308
efficientnet_b3,82.242
cait_xxs36_384,82.194
swin_s3_tiny_224,82.122
coatnet_rmlp_nano_rw_224,82.064
resnetv2_101,82.03
deit_base_patch16_224,81.998
xcit_small_12_p16_224,81.974
coatnext_nano_rw_224,81.948
resnet101,81.938
xcit_tiny_24_p8_224,81.9
swinv2_tiny_window8_256,81.806
swinv2_cr_tiny_ns_224,81.79
coatnet_nano_rw_224,81.7
deit3_small_patch16_224,81.386
swin_tiny_patch4_window7_224,81.378
coat_mini,81.268
deit_small_distilled_patch16_224,81.2
cait_xxs24_384,80.966
xcit_tiny_12_p16_384_dist,80.94
mobilevitv2_175,80.86
regnety_320,80.81
efficientnet_b2,80.612
cspresnext50,80.546
darknet53,80.534
maxvit_rmlp_pico_rw_256,80.516
mixnet_xl,80.476
inception_resnet_v2,80.458
resnetv2_50,80.432
mobilevitv2_150,80.376
resnet50,80.374
regnety_120,80.366
regnetx_320,80.246
inception_v4,80.168
dpn107,80.156
cspdarknet53,80.058
dpn92,80.008
xception71,79.874
deit_small_patch16_224,79.856
regnetx_160,79.856
dpn131,79.822
cait_xxs36_224,79.75
xcit_tiny_12_p8_224,79.694
mobilevitv2_125,79.684
dpn98,79.642
regnetx_120,79.596
cspresnet50,79.574
dla102x2,79.448
xcit_tiny_24_p16_224,79.444
dpn68b,79.216
regnetx_080,79.194
vit_base_patch16_224,79.154
coat_lite_mini,79.088
regnetx_064,79.072
xception,79.052
mixnet_l,78.976
vit_small_patch16_224,78.846
efficientnet_b1,78.794
dla169,78.688
xception41,78.516
dla102x,78.51
regnetx_040,78.482
dla60_res2net,78.464
dla60_res2next,78.44
coat_tiny,78.434
cait_xxs24_224,78.386
mobilevit_s,78.312
dla60x,78.246
mobilevitv2_100,78.09
dla102,78.032
xcit_nano_12_p8_384_dist,77.82
efficientnet_b0,77.698
tinynet_a,77.652
coat_lite_tiny,77.512
inception_v3,77.44
densenet161,77.358
densenet201,77.286
mobilenetv2_120d,77.284
mixnet_m,77.26
xcit_tiny_12_p16_224,77.12
resnet34,77.116
dla60,77.032
mobilenetv2_140,76.516
dpn68,76.318
mixnet_s,75.992
vit_small_patch32_224,75.99
densenet169,75.906
mobilenetv3_large_100,75.766
mobilenetv3_rw,75.634
mobilevitv2_075,75.622
densenet121,75.578
xcit_nano_12_p16_384_dist,75.458
vit_tiny_patch16_224,75.454
semnasnet_100,75.448
resnet26,75.292
mobilenetv2_110d,75.036
tinynet_b,74.974
vit_base_patch32_224,74.904
mnasnet_100,74.658
mobilevit_xs,74.644
dla34,74.63
deit_tiny_distilled_patch16_224,74.51
vgg19_bn,74.214
xcit_nano_12_p8_224,73.914
vgg16_bn,73.35
semnasnet_075,72.974
mobilenetv2_100,72.97
vgg19,72.368
deit_tiny_patch16_224,72.168
lcnet_100,72.114
vgg13_bn,71.594
vgg16,71.594
tinynet_c,71.232
vgg11_bn,70.36
regnety_002,70.252
mobilevitv2_050,70.14
xcit_nano_12_p16_224,69.954
vgg13,69.926
resnet18,69.748
vgg11,69.024
mobilevit_xxs,68.912
lcnet_075,68.818
regnetx_002,68.762
dla60x_c,67.892
mobilenetv3_small_100,67.652
tinynet_d,66.962
mnasnet_small,66.206
dla46x_c,65.97
mobilenetv2_050,65.942
mobilenetv3_small_075,65.246
dla46_c,64.866
lcnet_050,63.1
tinynet_e,59.856
mobilenetv3_small_050,57.89
volo_d5_448,86.954